,Date,Index Code,Index Chinese Name(Full),Index Chinese Name,Index English Name(Full),Index English Name,P/E1,P/E2,D/P1,D/P2
0,2020-06-12,905,中证小盘500指数,中证500,CSI Smallcap 500 Index,CSI 500,,,,
1,2020-06-11,905,中证小盘500指数,中证500,CSI Smallcap 500 Index,CSI 500,22.82,23.33,1.13,1.08
2,2020-06-10,905,中证小盘500指数,中证500,CSI Smallcap 500 Index,CSI 500,22.96,23.46,1.12,1.07
3,2020-06-09,905,中证小盘500指数,中证500,CSI Smallcap 500 Index,CSI 500,22.91,23.42,1.12,1.07
4,2020-06-08,905,中证小盘500指数,中证500,CSI Smallcap 500 Index,CSI 500,22.85,23.36,1.13,1.08
5,2020-06-05,905,中证小盘500指数,中证500,CSI Smallcap 500 Index,CSI 500,22.88,23.4,1.13,1.08
6,2020-06-04,905,中证小盘500指数,中证500,CSI Smallcap 500 Index,CSI 500,22.87,23.38,1.13,1.08
7,2020-06-03,905,中证小盘500指数,中证500,CSI Smallcap 500 Index,CSI 500,22.84,23.37,1.13,1.08
8,2020-06-02,905,中证小盘500指数,中证500,CSI Smallcap 500 Index,CSI 500,22.82,23.35,1.13,1.08
9,2020-06-01,905,中证小盘500指数,中证500,CSI Smallcap 500 Index,CSI 500,22.88,23.39,1.13,1.08
10,2020-05-29,905,中证小盘500指数,中证500,CSI Smallcap 500 Index,CSI 500,22.26,22.71,1.16,1.11
11,2020-05-28,905,中证小盘500指数,中证500,CSI Smallcap 500 Index,CSI 500,22.07,22.52,1.27,1.2
12,2020-05-27,905,中证小盘500指数,中证500,CSI Smallcap 500 Index,CSI 500,22.1,22.56,1.27,1.2
13,2020-05-26,905,中证小盘500指数,中证500,CSI Smallcap 500 Index,CSI 500,22.28,22.77,1.26,1.19
14,2020-05-25,905,中证小盘500指数,中证500,CSI Smallcap 500 Index,CSI 500,21.89,22.35,1.28,1.21
15,2020-05-22,905,中证小盘500指数,中证500,CSI Smallcap 500 Index,CSI 500,21.91,22.39,1.28,1.21
16,2020-05-21,905,中证小盘500指数,中证500,CSI Smallcap 500 Index,CSI 500,22.3,22.81,1.26,1.19
17,2020-05-20,905,中证小盘500指数,中证500,CSI Smallcap 500 Index,CSI 500,22.56,23.09,1.24,1.17
18,2020-05-19,905,中证小盘500指数,中证500,CSI Smallcap 500 Index,CSI 500,22.83,23.37,1.23,1.16
19,2020-05-18,905,中证小盘500指数,中证500,CSI Smallcap 500 Index,CSI 500,22.56,23.08,1.25,1.18
20,2020-05-15,905,中证小盘500指数,中证500,CSI Smallcap 500 Index,CSI 500,22.66,23.22,1.24,1.17
21,2020-05-14,905,中证小盘500指数,中证500,CSI Smallcap 500 Index,CSI 500,22.57,23.13,1.25,1.17
22,2020-05-13,905,中证小盘500指数,中证500,CSI Smallcap 500 Index,CSI 500,22.79,23.35,1.24,1.16
23,2020-05-12,905,中证小盘500指数,中证500,CSI Smallcap 500 Index,CSI 500,22.69,23.26,1.24,1.17
